,date,author,text
0,2022-03-23 08:18:37+00:00,Finland in Nepal,#TeamEurope including Finnish Ambassador Pertti Anttinen visiting #Karnali Province to discuss about joint developm… https://t.co/az5Qjbgoe3
1,2022-03-23 05:52:30+00:00,Finland in Nepal,"Happy #WorldMeteorologicalDay! The FNEP1-3 projects funded by the Finnish Government, have contributed to this year… https://t.co/9r4eae8lsP"
2,2022-03-22 16:36:29+00:00,Finland in Nepal,Embassy of Finland is happy to see the #TeamEurope colleagues in action to engage with the #RVWRMP supported commun… https://t.co/Vc0HjUPuFj
3,2022-03-22 16:20:47+00:00,Finland in Nepal,"Water makes the change! See below how private water taps, improved water mills and drip irrigated polyhouses can ch… https://t.co/QbfB2xV2YJ"
4,2022-03-22 15:56:30+00:00,Finland in Nepal,"EU, Finland and Nepal are working together to make the change in the lives of people through water sector cooperati… https://t.co/4GiGP3XUMW"
5,2022-03-22 10:31:56+00:00,Finland in Nepal,"Happy #WorldWaterDay to All!
#SDG6 https://t.co/GtNyDcDg98"
6,2022-03-08 06:04:35+00:00,Finland in Nepal,"Happy International Women's Day! Time to join the activists, leaders, innovators, scientists, and others who are bu… https://t.co/H5vCH0N7fg"
7,2022-01-25 08:35:25+00:00,Finland in Nepal,See below how the comprehensive relief package benefitted people in Nepal during #Covid19 crisis. @unwomennepal… https://t.co/nrsBW2fQ6G
8,2022-01-24 11:09:50+00:00,Finland in Nepal,Happy International Day of Education! Finland supports the Government of Nepal and UNICEF to realize everyone’s fun… https://t.co/OgKAtWhOEf
9,2022-01-11 10:56:39+00:00,Finland in Nepal,Read more how sustainability of water supply schemes and water tariff collection are connected. Interesting study p… https://t.co/dyNdL2CQU6
10,2021-12-10 07:09:23+00:00,Finland in Nepal,Join us on #HumanRightsDay for the screening of 5 short films📽️ developed by 5 youths from across🇳🇵on discriminator… https://t.co/Q0yh13t8y6
11,2021-12-07 07:58:49+00:00,Finland in Nepal,The students of Shree Nepal National Basic School in Shivaraj Municipality showing how to wash hands properly. Hand… https://t.co/QaT3zJdxoF
12,2021-12-03 07:55:40+00:00,Finland in Nepal,"On #IDPD, a Nepali Disability Rights Activist, Sharada Bista, is encouraging us to work together to realize the rig… https://t.co/taMCQwsbdR"
13,2021-11-16 10:01:51+00:00,Finland in Nepal,"Finland, together with other representatives of #COVAX donor government and agency partners, came together last wee… https://t.co/WFBkCTPoZE"
14,2021-11-12 05:08:26+00:00,Finland in Nepal,Giving voice to the voiceless women is of utmost importance to Finland. We partner with @unwomennepal to achieve th… https://t.co/EteR1Jp1Lo
